X,Y,Z,X_std,Y_std,Z_std
566603.5513565199,5932856.006908137,6.272241865590282,3.347586721454252,1.8058718410090984,0
566603.1587461221,5932855.910038381,6.3053204856196965,3.480284956365078,1.8135613698597015,0
566602.5410428739,5932855.874734896,6.1508865518517535,3.449881327552372,1.809644356732682,0
566601.9695433194,5932855.899340887,5.912299985070365,3.460516085633659,1.755598822561689,0
566601.415574735,5932855.837219143,6.101698174504452,3.4151829544687895,1.7734118745242482,0
566600.7851733963,5932855.763624578,6.180333536657512,3.394870672292558,1.8028120901674087,0
566600.128086239,5932855.667377561,6.298480591929801,3.365832039477689,1.834414510312252,0
566599.5066341921,5932855.605557663,6.486869137845349,3.3439435018151107,1.8771896348756183,0
566598.9120502013,5932855.481640485,6.109215673341687,3.284013018483823,1.9326345396178553,0
566598.2880765586,5932855.370719003,6.204349062528865,3.2520891289297267,1.9929154639892743,0
566597.7414504817,5932855.258541277,6.5529037358168765,3.196857727438311,1.985620984288151,0
566597.1525106189,5932855.208446026,6.525796673287561,3.1475290140818912,2.045579484403975,0
566596.5778585857,5932855.063329077,6.344749635041417,3.1434697197582535,2.112927902412861,0
566596.0349599159,5932854.906581685,6.460199647206221,3.1012103161319358,2.2015769287196862,0
566595.5145260484,5932854.896029281,6.374442910655249,3.128629758645988,2.295278171274486,0
566595.0759937969,5932855.031479454,6.2877518356139666,3.1618451668457985,2.366752683675576,0
566594.6697588377,5932855.221166839,6.369877749455428,3.1484704843439553,2.330178938717282,0
566594.3052767682,5932855.300597666,6.479460584387526,3.092699215637226,2.280067525713307,0
566594.2193489722,5932855.457620367,6.360730417588292,3.0454965062509203,2.1698982716109296,0
566589.4042829379,5932855.026109834,11.824167025483563,0.07189774018114374,0.19893861529785978,0
566589.3063653106,5932854.620907574,19.978463038468277,0.4363675817903962,0.3948259884360564,0
566589.2546168983,5932854.125014777,19.871810604003173,0.4100312830287933,0.48549517925828123,0
566588.8789831331,5932854.197986545,19.70191587038561,0.3340055099605438,0.28221642321214313,0
566588.8581896222,5932852.402454275,19.450050343319795,0.4053740170568919,0.5033499629565596,0
566588.4316464469,5932851.92821679,19.437231480193255,0.4692194839351894,0.5137129756899907,0
566588.045435334,5932851.469305973,19.569035538528915,0.5337387676953025,0.5793561441965448,0
566587.5902774403,5932851.038473754,19.742716348100796,0.5844510911526491,0.6243482315243613,0
566587.1845589009,5932850.577159877,19.531782823355897,0.6366640661745497,0.6875026345570734,0
566586.7146813116,5932850.151037704,19.74389442057367,0.6588052486329313,0.6733481394909936,0
566586.261895968,5932849.637322852,19.687022613913374,0.6709623285024687,0.7527736140158724,0
566585.9176192526,5932849.028949008,19.639630420372917,0.8280046257025132,0.8500135116979147,0
566585.6075743883,5932848.653156991,19.678884356253302,0.9668989452066112,1.0123577208730539,0
566585.2045433428,5932848.181022525,19.697378627274837,0.9966572286630333,1.0394758679936607,0
566584.5076138357,5932847.6576988585,19.76676188254235,0.8641636747032518,0.8462499955344686,0
566584.0872800641,5932847.187454959,19.57358720503572,0.888144663331498,0.922498119136539,0
566583.6292662434,5932846.732729908,19.70629060505979,0.8527321457923842,0.9811609439881795,0
566583.1990174444,5932846.18776071,19.60632142794655,0.929992107369213,1.0211437398897083,0
566582.8009240614,5932845.703951451,19.61944293310139,0.9827899443842845,1.1001550542534266,0
566582.3929273934,5932845.203089224,19.559638615498276,1.0947807440707185,1.187318761829759,0
566581.9862271931,5932844.780241169,19.69783841083042,1.1753704471495685,1.1682761575825629,0
566581.5935680394,5932844.171182839,19.354717830344104,1.2348348401310967,1.2980230185230248,0
566581.3006793642,5932843.860031041,19.511729023863555,1.4043568691598631,1.4668644145567724,0
566580.8642947495,5932843.3804324735,19.485232395185736,1.4284641182348694,1.4558085788330177,0
566580.4755359425,5932842.7097301455,19.622524995741575,1.512562724374373,1.805444603227078,0
566580.0530200523,5932842.223419642,19.426561425458377,1.5528282042716763,1.7815598498879712,0
566579.5968049493,5932841.641609139,19.39202004464405,1.6154335614476414,1.8051364541664112,0
566579.1063118401,5932841.156141628,19.496868910297227,1.6975189282384355,1.8166712060341976,0
566578.6342035683,5932840.650065342,19.37604801084219,1.7435108060922868,1.7712589521794737,0
566578.1359474282,5932840.1399756875,19.49082772924493,1.7986638998992037,1.74420457892762,0
566577.5935690082,5932839.698966782,19.428037438393957,1.8430524229754723,1.7767954712375804,0
566577.1500823224,5932839.275870926,19.508183298092135,1.8667361504384434,1.8295804658159567,0
566576.6663429905,5932838.770113301,19.518435058974948,1.9187476025170342,1.8431433701157474,0
566576.150443383,5932838.335343312,19.433164924252672,1.98100742125743,1.893577514083095,0
566575.6598169616,5932837.910440671,19.542773198991714,2.0671313117554586,1.9748254206271567,0
566575.2031835737,5932837.531162394,19.74597680118899,2.1653369633766566,2.080457944835464,0
566574.7497295642,5932837.15019819,19.36658632069106,2.1978589857150816,2.1636515381457326,0
566574.203019209,5932836.675591474,19.260660174505368,2.2784343117393764,2.211300466662073,0
566573.6895806678,5932836.177808101,19.127316664088635,2.329004319565425,2.2295249144362685,0
566572.7217841906,5932835.271999654,19.28081140170675,1.8743469260680936,2.0081008096462436,0
566572.7477321209,5932835.206260403,19.714904183704924,2.290297009809611,2.2591241150162404,0
566572.0038371462,5932834.50727972,19.586513155564322,2.076877806651472,2.1075169409980328,0
566571.5775966304,5932834.0712252,19.402892287598988,2.049884197540988,2.160539486229142,0
566569.5279837657,5932832.093952329,19.461959879436435,1.3658663748528332,1.6940949820724143,0
566570.565854948,5932833.168809586,19.51441803337497,2.0443813615161464,2.2640245989471603,0
566570.3915240436,5932832.887494753,19.725667319620605,2.371058503427273,2.5828129310594137,0
566570.0868195676,5932832.266077842,19.775920473231984,2.4212578838450787,2.635443359668164,0
566569.4673956828,5932831.347060929,19.721482288311964,2.15844197671901,2.4129052485421982,0
566569.3811360715,5932830.686909243,19.708515500894297,2.225388038999747,2.4067582309497935,0
566569.4029432015,5932830.017585937,19.790093938392623,2.167758087687961,2.42008606906037,0
566571.6043506541,5932831.971013094,19.796869995097516,1.7503763675803767,1.7244063260917855,0
566570.3325250793,5932829.810990752,19.85099531832223,2.045245193650076,2.4133477743802247,0
566570.2053735005,5932828.774198094,19.466995154343504,1.4006256949912967,1.7304550369783727,0
566570.0359590068,5932827.664464803,19.41601499776609,1.1673438939255891,0.9712786872922704,0
566570.9195076237,5932828.069889129,19.319805320757972,1.156840756252523,1.0491210819041952,0
566571.523130804,5932828.097347465,19.521769870018435,1.213759796728704,1.0069829874142542,0
566571.9745482482,5932828.277468713,19.799680942361746,1.2325715696285084,0.8696068197290568,0
566571.7179560706,5932827.972078503,19.77801947479193,0.6195619830713534,0.6627547822781322,0
566572.349063393,5932828.185038675,19.32585023684069,0.5764598917491404,0.5684421702643825,0
566575.2233368509,5932829.100912841,19.366655189232866,0.7278810793720807,0.605551040701127,0
566573.7768928185,5932828.489211585,19.179644571675517,0.6169165069864722,0.5090867965310616,0
566574.3651054194,5932828.5180808585,19.25821647942347,0.5627381758402524,0.5411484329459065,0
566577.4119981482,5932829.578658246,19.424780880587253,0.770702399271085,0.4916876022968859,0
566578.0926254049,5932829.713985744,19.494846803527203,0.7692052154162854,0.39991248316942124,0
566578.766566709,5932829.734928545,19.557861438145917,0.7408378673380251,0.4043136760049774,0
566579.3415470311,5932829.533013238,19.634250292400516,0.8227624460682228,0.4628139797374211,0
566579.9626163701,5932829.424271063,19.60783434275806,0.8064098203191373,0.5118378624354485,0
566580.7067571332,5932829.298562809,19.416982514750078,0.8653179155189765,0.5809530181844584,0
566581.2432534188,5932829.247504187,19.56290097339239,0.9017689496195005,0.6511953638596297,0
566581.7234322253,5932829.051639384,19.62460358057792,0.7739467818078911,0.6292237072814246,0
566581.9823888738,5932828.602168574,19.611275688576622,0.5961998586844389,0.5734269199390309,0
566580.7927712942,5932827.447973255,19.836047193879217,2.030601823227628,1.0833983572295036,0
566580.7977255349,5932826.775114299,19.796880275471405,2.1380252037783847,1.0414428742211779,0
